property_type,society,sector,price_in_crores,price_per_sqft,area_sqft,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,Super Built up area,Built Up area,Carpet area,study room,store room,Pooja Room,servant room,Others,furnishing_type,luxury_score,area_room_ratio
flat,godrej habitat,sector 3,1.1,10406.811731315043,1057.0,Super Built up area 1056.58(98.16 sq.m.),2.0,2.0,2,14.0,not available,Under Construction,1056.0,,,0,0,0,0,0,1,60,528.5
flat,ramsons kshitij,sector 95,0.29,5178.571428571428,560.0,Super Built up area 560(52.03 sq.m.),2.0,2.0,2,14.0,not available,Relatively New,560.0,,,0,0,0,0,0,1,50,280.0
flat,sidhartha ncr one,sector 95,0.55,5555.555555555556,990.0,Built Up area: 990 (91.97 sq.m.)Carpet area: 950 sq.ft. (88.26 sq.m.),2.0,2.0,3,15.0,North-East,Undefined,,990.0,950.0,0,0,0,0,0,1,0,495.0
flat,raheja sampada,sector 92,0.65,4744.525547445255,1370.0,Super Built up area 1370(127.28 sq.m.),3.0,2.0,3,6.0,North-East,Relatively New,1370.0,,,0,0,0,0,0,1,49,456.6666666666667
flat,signature the serenas,sohna road,0.5,9398.496240601504,532.0,Carpet area: 531.57 (49.38 sq.m.),2.0,2.0,2,6.0,not available,New Property,,,531.57,0,0,0,0,0,1,37,266.0
flat,pareena laxmi apartments,sector 99,0.32,5517.241379310345,580.0,Super Built up area 575(53.42 sq.m.)Carpet area: 570.17 sq.ft. (52.97 sq.m.),2.0,2.0,1,2.0,not available,New Property,575.0,,570.17,0,0,0,0,0,1,43,290.0
flat,satya the hermitage,sector 103,0.93,6404.9586776859505,1452.0,Carpet area: 1452 (134.9 sq.m.),2.0,3.0,3,3.0,East,Relatively New,,,1452.0,0,0,0,0,0,0,90,726.0
flat,smart world gems,sector 89,1.2,8432.8882642305,1423.0,Carpet area: 1423 (132.2 sq.m.),3.0,3.0,2,2.0,North-East,New Property,,,1423.0,0,0,0,0,0,1,44,474.3333333333333
flat,gls arawali homes,sohna road,0.3,4687.5,640.0,Carpet area: 640 (59.46 sq.m.),2.0,2.0,2,4.0,not available,Relatively New,,,640.0,0,0,0,0,0,1,42,320.0
flat,signature global park,sohna road,0.56,6812.652068126521,822.0,Carpet area: 822 (76.37 sq.m.),2.0,2.0,3,3.0,South,New Property,,,822.0,0,0,0,0,0,1,111,411.0
flat,bestech park view city,sector 49,2.7,12505.789717461788,2159.0,Super Built up area 2159(200.58 sq.m.),3.0,4.0,3+,6.0,not available,Moderately Old,2159.0,,,0,0,0,0,0,1,0,719.6666666666666
flat,shree vardhman flora,sector 90,1.0,5128.205128205128,1950.0,Super Built up area 1950(181.16 sq.m.),3.0,4.0,3,8.0,North-East,New Property,1950.0,,,0,0,0,0,0,1,95,650.0
flat,afnhb jalvayu vihar,sector 30,1.45,11153.846153846154,1300.0,Built Up area: 1300 (120.77 sq.m.)Carpet area: 1090 sq.ft. (101.26 sq.m.),3.0,2.0,2,2.0,North,Old Property,,1300.0,1090.0,0,0,0,0,0,2,75,433.3333333333333
flat,m3m soulitude,sector 89,1.25,8784.258608573437,1423.0,Built Up area: 1423 (132.2 sq.m.)Carpet area: 1190 sq.ft. (110.55 sq.m.),3.0,3.0,0,4.0,not available,Undefined,,1423.0,1190.0,0,0,0,0,0,1,61,474.3333333333333
flat,emaar mgf palm terraces,sector 66,4.5,10598.210080075365,4246.0,Super Built up area 3670(340.95 sq.m.),5.0,5.0,3+,11.0,not available,New Property,3670.0,,,0,0,0,0,0,1,105,849.2
flat,hcbs sports ville,sohna road,0.28,3768.5060565275908,743.0,Built Up area: 743 (69.03 sq.m.)Carpet area: 643 sq.ft. (59.74 sq.m.),2.0,2.0,1,11.0,East,Relatively New,,743.0,643.0,0,0,0,0,0,1,38,371.5
flat,puri the aravallis,sector 61,3.87,17200.0,2250.0,Super Built up area 2250(209.03 sq.m.)Carpet area: 1249.65 sq.ft. (116.1 sq.m.),3.0,4.0,3+,21.0,East,Undefined,2250.0,,1249.65,0,0,0,0,0,1,58,750.0
flat,brisk lumbini terrace homes,sector 109,1.38,6338.998621956821,2177.0,Carpet area: 2177 (202.25 sq.m.),3.0,3.0,1,4.0,not available,Moderately Old,,,2177.0,0,0,0,0,0,1,20,725.6666666666666
flat,huda ashok vihar phase,sector 4,0.43,6615.384615384615,650.0,Carpet area: 650 (60.39 sq.m.),2.0,2.0,1,2.0,not available,Relatively New,,,650.0,0,0,0,0,0,1,7,325.0
flat,my home,sector 2,0.28,3167.420814479638,884.0,Carpet area: 900 (83.61 sq.m.),2.0,1.0,1,2.0,not available,Relatively New,,,900.0,0,0,0,0,1,1,15,442.0
flat,signature global city,sector 37,1.1,9838.998211091235,1118.0,Carpet area: 1118 (103.87 sq.m.),2.0,2.0,2,4.0,South,Undefined,,,1118.0,0,0,0,0,0,1,59,559.0
flat,m3m heights,sector 65,2.0,13956.734124214934,1433.0,Built Up area: 1433 (133.13 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),2.0,2.0,2,32.0,not available,Undefined,,1433.0,1000.0,0,0,0,0,0,1,48,716.5
flat,signature global park,sohna road,0.9,8035.714285714285,1120.0,Super Built up area 1120(104.05 sq.m.),3.0,2.0,2,2.0,South,Undefined,1120.0,,,0,0,0,0,0,1,144,373.3333333333333
flat,signature global park,sohna road,0.9,8035.714285714285,1120.0,Built Up area: 1120 (104.05 sq.m.),3.0,2.0,0,2.0,not available,Undefined,,1120.0,,0,0,0,0,0,1,58,373.3333333333333
flat,godrej nature plus,sector 33,1.75,8767.53507014028,1996.0,Built Up area: 1996 (185.43 sq.m.),3.0,3.0,0,2.0,not available,Undefined,,1996.0,,0,0,0,0,0,1,56,665.3333333333334
flat,supertech hues,sector 68,0.93,8611.111111111111,1080.0,Carpet area: 1080 (100.34 sq.m.),2.0,2.0,2,11.0,not available,Undefined,,,1080.0,0,0,0,0,0,1,0,540.0
flat,dlf new town heights,sector 90,1.8,6600.660066006601,2727.0,Super Built up area 2727(253.35 sq.m.),4.0,4.0,3+,23.0,not available,Moderately Old,2727.0,,,0,0,0,0,0,1,67,681.75
flat,central park flower valley aqua front towers,sector 33,2.1,11738.401341531582,1789.0,Super Built up area 1789(166.2 sq.m.),3.0,3.0,2,6.0,not available,Under Construction,1789.0,,,0,0,0,0,0,1,24,596.3333333333334
