,property_type,society,sector,price_in_crores,price_per_sqft,area_sqft,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,Super Built up area,Built Up area,Carpet area,study room,store room,Pooja Room,servant room,Others,furnishing_type,luxury_score
3066,house,Ashok Vihar Phase 3 Gurgaon,sector 3,0.95,8878.0,1070.0608245100248,,4.0,3.0,2,1.0,East,Old Property,,1070.06,,0,0,0,0,0,1,8
3067,house,independent,sector 9a,4.5,14286.0,3149.9370012599747,,9.0,9.0,3+,3.0,,Relatively New,,3149.94,,1,0,0,0,0,0,38
3068,house,independent,sector 3,0.9,8928.0,1008.0645161290324,,3.0,1.0,0,1.0,,Undefined,,1008.06,,0,0,0,0,0,1,0
3069,house,independent,sector 41,7.0,28283.0,2474.98497330552,,7.0,7.0,3+,3.0,South-West,Moderately Old,,2474.98,,1,1,0,1,0,2,151
3070,house,independent,sector 17,3.93,24214.0,1623.0280003303874,,19.0,17.0,3,4.0,North-West,Relatively New,,1623.03,,1,1,0,1,0,1,74
3071,house,independent,sector 56,4.0,26613.0,1503.0248374854395,,4.0,4.0,3+,2.0,,Relatively New,,1503.02,,0,0,0,0,0,0,24
3072,house,independent,sector 7,0.9,10000.0,900.0,,6.0,4.0,3,3.0,North-East,Old Property,,900.0,,0,0,0,1,0,0,44
3073,house,independent,sector 24,2.75,7666.0,3587.2684581267936,,7.0,7.0,3+,3.0,North-East,Moderately Old,,3587.27,,0,0,0,0,0,0,0
3074,house,Prem Kunj,sohna road,0.5,7407.0,675.0371270419873,,5.0,4.0,3,3.0,South-West,Relatively New,,675.04,,0,0,0,0,0,1,22
3075,house,independent,sector 6,0.5,8333.0,600.0240009600384,,3.0,3.0,2,2.0,East,Moderately Old,,600.02,,0,0,0,0,0,1,0
3076,house,independent,sector 105,0.6,13333.0,450.01125028125705,,3.0,3.0,0,3.0,,Undefined,,450.01,,0,0,0,0,0,1,0
3077,house,independent,sector 3,0.5,11111.0,450.0045000450005,,5.0,3.0,3,3.0,,Moderately Old,,450.0,,0,0,0,0,0,1,0
3078,house,independent,sector 105,0.35,7778.0,449.9871432244793,,2.0,2.0,1,2.0,East,Undefined,,449.99,,0,0,0,0,0,1,0
3079,house,DLF City Plots,sector 26,4.0,40775.0,980.9932556713673,,4.0,3.0,2,2.0,,Relatively New,,980.99,,0,0,0,0,0,0,0
3080,house,Not Applicable,sector 11,2.2,12222.0,1800.0327278677794,,4.0,3.0,2,1.0,South,Old Property,,1800.03,,1,0,0,0,0,1,24
3081,house,independent,manesar,1.1,6172.0,1782.242384964355,,8.0,8.0,0,1.0,,New Property,,1782.24,,0,0,0,0,0,1,0
3082,house,independent,sector 7,8.0,22222.0,3600.0360003600035,,4.0,5.0,3+,1.0,North-East,Old Property,,3600.04,,1,0,0,1,0,1,31
3083,house,independent,sector 8,0.82,9111.0,900.0109757436065,,4.0,3.0,3,2.0,North,Moderately Old,,900.01,,0,0,0,0,0,1,12
3084,house,independent,sector 3,0.9,80357.0,112.0001991114651,,3.0,3.0,0,2.0,,Undefined,,112.0,,0,0,0,0,0,1,0
3085,house,independent,sector 12,0.7,4117.0,1700.2671848433324,,4.0,4.0,1,2.0,,Moderately Old,,1700.27,,0,0,0,0,0,1,0
3086,house,independent,sector 11,0.95,7308.0,1299.9452654625068,,5.0,3.0,0,1.0,,Undefined,,1299.95,,0,0,0,0,0,1,0
3087,house,Housing Board Colony,sector 28,3.5,25926.0,1349.9961428681631,,6.0,6.0,3,3.0,,Relatively New,,1350.0,,0,0,0,0,0,1,0
3088,house,independent,manesar,0.8,6666.0,1200.1200120012002,,8.0,8.0,2,1.0,,Relatively New,,1200.12,,0,0,0,0,0,1,0
3089,house,independent,sector 26,6.0,33333.0,1800.0180001800018,,8.0,5.0,3+,3.0,,Old Property,,1800.02,,0,0,0,0,0,0,9
3090,house,shivpuri,sector 7,2.8,12444.0,2250.080360012857,,10.0,7.0,3,1.0,,Old Property,,2250.08,,1,0,0,1,0,0,0
3091,house,Ansal Heights,sector 92,2.75,9793.0,2808.128254875932,,4.0,4.0,3+,3.0,,Relatively New,,2808.13,,1,0,0,0,0,1,0
3092,house,Ninex City,sector 76,1.75,6250.0,2800.0,,4.0,4.0,0,14.0,,Undefined,,2800.0,,0,0,0,0,0,1,0
3093,house,Spaze Privy,sector 72,3.1,8486.0,3653.075654018384,,5.0,5.0,3+,21.0,,Relatively New,,3653.08,,0,0,0,0,0,1,0
3094,house,independent,sector 7,1.16,11717.0,990.0145088333192,,5.0,4.0,2,1.0,North-East,Undefined,,990.01,,0,0,0,0,0,1,0
3095,house,Signature Global Park,sohna road,0.85,7589.0,1120.0421662933193,,3.0,2.0,2,1.0,,Undefined,,1120.04,,0,0,0,0,0,1,15
3096,house,independent,sector 12,0.9,13333.0,675.0168754218855,,4.0,4.0,0,2.0,,Undefined,,675.02,,0,0,0,0,0,1,0
3097,house,My Home,sector 2,0.34,12592.0,270.012706480305,,2.0,2.0,2,3.0,West,Moderately Old,,270.01,,0,0,0,0,0,1,22
3098,house,independent,sector 2,5.0,15384.0,3250.130005200208,,6.0,6.0,2,1.0,South,Undefined,,3250.13,,0,0,0,0,0,1,0
3099,house,independent,sector 14,5.0,22222.0,2250.022500225002,,3.0,3.0,3,1.0,South,Moderately Old,,2250.02,,0,0,0,0,0,1,25
3100,house,Unitech Uniworld Resorts,sector 33,9.5,23333.0,4071.4867355247934,,5.0,7.0,3+,2.0,East,Undefined,,4071.49,,1,1,0,1,0,1,57
3101,house,independent,sector 56,7.25,29336.0,2471.366239432779,,8.0,8.0,3+,0.0,North-East,Moderately Old,,2471.37,,0,0,0,0,0,0,24
3102,house,independent,sector 3,1.5,10288.0,1458.00933125972,,3.0,3.0,0,,,Old Property,,1458.01,,0,0,0,0,0,1,0
3103,house,DLF Gardencity Enclave,sector 93,1.3,11284.0,1152.073732718894,,3.0,2.0,1,3.0,,Relatively New,,1152.07,,0,0,0,0,0,1,0
3104,house,independent,sector 5,3.75,11029.0,3400.1269380723547,,5.0,5.0,3+,3.0,,Undefined,,3400.13,,0,0,0,0,0,1,0
3105,house,Rajendra Park Gurgaon,sector 105,0.37,10277.0,360.0272453050501,,4.0,3.0,2,3.0,East,Relatively New,,360.03,,0,0,0,0,0,1,0
3106,house,independent,sector 43,2.25,6944.0,3240.207373271889,,10.0,10.0,2,1.0,East,Undefined,,3240.21,,0,0,0,0,0,1,0
3107,house,independent,sector 7,1.15,8518.0,1350.0821789152385,,5.0,3.0,2,2.0,North-East,Old Property,,1350.08,,0,0,0,0,0,1,15
3108,house,independent,sector 8,0.49,11250.0,435.55555555555554,,6.0,3.0,2,3.0,East,Moderately Old,,435.56,,0,0,0,0,0,1,8
3109,house,house number B-34,sector 5,0.8,8888.0,900.0900090009001,,2.0,2.0,1,1.0,,Old Property,,900.09,,0,0,0,0,0,1,0
3110,house,independent,sector 21,1.6,11852.0,1349.9831252109348,,5.0,5.0,2,3.0,,Relatively New,,1349.98,,0,0,0,0,0,1,0
3111,house,independent,sector 26,7.0,39265.0,1782.7581815866547,,5.0,5.0,2,3.0,North-East,Relatively New,,1782.76,,0,0,0,1,0,1,9
3112,house,independent,sector 9,0.5,6083.0,821.962847279303,,3.0,2.0,1,1.0,,Undefined,,821.96,,0,0,0,0,0,1,0
3113,house,independent,sector 38,8.0,230547.0,347.00082846447793,,10.0,10.0,3+,1.0,North,Undefined,,347.0,,0,0,0,0,0,1,0
3114,house,independent,sector 21,0.45,8411.0,535.0136725716324,,3.0,2.0,1,1.0,,Undefined,,535.01,,0,0,0,0,0,1,0
3115,house,independent,sector 13,0.62,32291.0,192.00396395280416,,6.0,6.0,0,3.0,,Undefined,,192.0,,0,0,0,0,0,1,0
3116,house,independent,bhim nagar,1.0,41666.0,240.003840061441,,6.0,4.0,0,3.0,,Undefined,,240.0,,0,0,0,0,0,1,0
3117,house,independent,sector 4,4.12,8889.0,4634.94206322421,,2.0,1.0,3+,,,Moderately Old,,4634.94,,0,0,0,0,0,1,0
3118,house,independent,sector 28,0.45,90000.0,50.0,,5.0,3.0,0,1.0,,Undefined,,50.0,,0,0,0,0,0,1,0
3119,house,ATS Tourmaline,sector 109,1.87,8697.0,2150.166724157756,,3.0,4.0,0,12.0,,Undefined,,2150.17,,0,0,0,0,0,1,0
3120,house,independent,sector 3,0.85,8500.0,1000.0,,1.0,1.0,0,1.0,,Undefined,,1000.0,,0,0,0,0,0,1,0
3121,house,independent,sector 9,0.42,9333.0,450.0160720025716,,5.0,3.0,2,2.0,,Undefined,,450.02,,0,0,0,0,0,1,0
3122,house,Bhawani enclave,sector 12,0.42,8235.0,510.0182149362477,,3.0,3.0,0,2.0,East,New Property,,510.02,,0,0,0,0,0,1,0
3123,house,independent,sector 105,1.2,13333.0,900.0225005625141,,7.0,4.0,1,2.0,South-West,Moderately Old,,900.02,,0,0,0,0,0,1,14
3124,house,independent,sector 50,6.5,21667.0,2999.9538468638943,,5.0,6.0,0,1.0,,Undefined,,2999.95,,0,0,0,0,0,1,0
