property_type,society,sector,price_in_crores,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,Built Up area,study room,store room,Pooja Room,servant room,Others,furnishing_type,luxury_score
flat,m3m soulitude,sector 89,1.25,8784.258608573437,3.0,3.0,3,3.0,New Property,1288.0,0,0,0,0,1,1,61
flat,emaar mgf palm hills,sector 77,1.5,12744.26508071368,3.0,3.0,3,4.0,Relatively New,1966.0,0,0,0,0,0,0,97
flat,ramprastha city,dwarka expressway,1.3,9285.714285714286,3.0,3.0,2,3.0,Under Construction,1267.0,0,0,0,0,0,1,0
flat,pareena coban residences,sector 99,1.6,8000.0,3.0,3.0,3,6.0,Under Construction,1810.0,0,0,0,0,0,1,0
flat,la vida by tata housing,sector 113,1.5,11755.485893416928,2.0,2.0,2,13.0,New Property,1418.0,0,0,0,0,0,1,71
flat,la vida by tata housing,sector 113,1.5,11755.485893416928,2.0,2.0,2,13.0,New Property,1155.0,0,0,0,0,0,1,60
flat,godrej summit premia towers,sector 104,0.9,7148.530579825258,2.0,2.0,0,16.0,Relatively New,1259.0,0,0,0,0,0,1,0
flat,ardee city,sector 52,1.5,9146.341463414634,4.0,4.0,3,3.0,Old Property,1484.0,0,0,0,0,0,1,65
flat,m3m one key resiments,sector 67,0.8,13114.754098360656,1.0,1.0,0,0.0,Relatively New,610.0,0,0,0,0,0,1,0
flat,ansal heights 86,sector 86,1.25,7396.449704142012,3.0,2.0,1,11.0,New Property,1529.0,0,0,0,0,0,1,45
flat,mvn athens,sohna road,0.26,5394.190871369295,2.0,2.0,1,2.0,Relatively New,535.0,0,0,0,0,0,1,37
flat,signature the serenas,sohna road,0.42,7909.604519774011,2.0,2.0,1,12.0,New Property,590.0,0,0,0,0,0,1,54
flat,sushant lok 1 builder floors,sector 43,2.5,12919.896640826872,3.0,3.0,2,2.0,New Property,195.0,0,0,0,0,0,1,0
flat,umang monsoon breeze,sector 78,0.9,4615.384615384615,3.0,3.0,2,1.0,Moderately Old,1900.0,0,0,1,0,0,1,65
flat,gls avenue 51,sector 92,0.42,7106.598984771574,2.0,2.0,1,4.0,Relatively New,657.0,0,0,1,0,0,0,42
flat,signature global solera,sector 107,0.5,7692.307692307692,2.0,2.0,1,11.0,Relatively New,494.0,0,0,0,0,0,1,55
flat,supertech araville,sector 79,0.9,5882.35294117647,2.0,2.0,3,5.0,Relatively New,1450.0,0,0,0,0,0,1,53
flat,greenopolis,sector 89,1.3,6806.282722513089,3.0,3.0,3+,1.0,New Property,2122.0,0,0,0,0,0,1,35
flat,central park flower valley aqua front towers,sector 33,1.7,9502.515371716045,3.0,3.0,3,12.0,Under Construction,1619.0,0,0,0,0,0,1,24
flat,sare homes,sector 92,1.25,6200.396825396825,4.0,3.0,0,16.0,Relatively New,2040.0,0,0,0,0,0,1,49
flat,vatika sovereign next sector-82 a gurgaon,sector 82,2.91,6700.437485609026,4.0,4.0,3,6.0,Under Construction,5870.0,0,0,0,0,0,0,79
flat,bhagwati sadan,sector 12,1.15,5750.0,3.0,4.0,2,2.0,Old Property,2000.0,0,0,0,0,1,0,28
flat,smart world gems,sector 89,1.2,12526.096033402922,3.0,3.0,3,3.0,New Property,1064.0,0,0,1,0,0,1,131
flat,micasa sec 68,sohna road,1.5,12244.897959183674,2.0,2.0,3,11.0,New Property,1361.0,0,0,0,0,0,1,44
flat,eldeco accolade,sohna road,1.3,7424.328954882924,3.0,3.0,3+,10.0,Relatively New,2301.0,0,0,0,0,0,1,49
flat,hero homes,sector 104,1.75,10361.160449970395,3.0,3.0,3,2.0,Relatively New,1529.0,0,0,0,0,0,1,30
flat,shyam sadan,sector 3,0.55,6470.588235294118,2.0,2.0,1,4.0,Relatively New,778.0,0,0,0,0,0,0,69
flat,m3m heights,sector 65,2.5,13601.741022850923,3.0,3.0,3,19.0,Relatively New,1654.0,0,0,0,0,0,1,48
flat,supertech hilltown,sector 2,0.8,5555.555555555556,3.0,2.0,3,8.0,Moderately Old,1440.0,0,0,0,0,0,1,0
flat,raheja vedaanta,sector 108,0.7,4666.666666666667,2.0,2.0,1,10.0,Moderately Old,1468.0,0,0,0,0,0,1,0
flat,bptp terra,sector 37,1.95,14444.444444444443,4.0,3.0,3,7.0,Relatively New,1650.0,0,0,0,0,0,1,53
flat,green court,sector 90,0.45,7188.498402555911,2.0,2.0,1,2.0,New Property,696.0,0,0,0,0,0,0,42
flat,m3m golf hills phase 1,sector 79,1.7,10828.025477707006,3.0,2.0,3,10.0,Relatively New,1570.0,0,0,0,0,0,1,0
flat,pyramid urban homes 2,sector 86,0.5,9615.384615384615,2.0,2.0,1,10.0,Relatively New,578.0,0,0,0,0,0,1,15
flat,m3m heights,sector 65,2.8,14997.321906802355,3.0,3.0,3,20.0,Relatively New,1867.0,0,0,0,0,0,1,91
flat,godrej nature plus,sector 33,1.45,15658.747300215982,3.0,2.0,3+,20.0,Under Construction,118.0,0,0,0,0,0,1,144
flat,smart world orchard,sector 61,2.2,13496.932515337425,3.0,3.0,2,3.0,New Property,1811.0,0,0,0,0,0,1,16
flat,ashiana anmol,sohna road,0.9,9463.72239747634,2.0,2.0,2,13.0,Relatively New,1682.0,0,0,0,0,0,2,120
flat,signature signum 95a,sector 95,0.4,7782.101167315175,2.0,2.0,2,3.0,New Property,571.0,0,0,0,0,0,0,44
flat,umang winter hills,sector 77,1.35,7780.979827089337,3.0,3.0,3+,7.0,New Property,2236.0,0,0,0,0,0,0,96
flat,aardhya homesh,sector 67,1.85,8043.478260869565,4.0,4.0,0,4.0,Relatively New,2556.0,0,0,0,0,0,1,0
flat,rof ananda,sector 95,0.25,6578.9473684210525,1.0,1.0,1,4.0,New Property,344.0,0,0,0,0,0,1,0
flat,smart world gems,sector 89,0.88,7963.800904977375,2.0,2.0,3,2.0,New Property,1228.0,0,0,0,0,0,1,44
flat,assotech blith,sector 99,1.15,6594.036697247707,2.0,2.0,2,2.0,New Property,1235.0,0,0,0,0,1,0,72
flat,raheja vanya,sector 99,0.85,6789.137380191693,2.0,2.0,2,3.0,New Property,1133.0,0,0,0,0,0,1,43
flat,vatika inxt floors,sector 82,0.75,7500.0,2.0,2.0,2,1.0,Relatively New,1000.0,0,0,0,0,0,1,0
flat,palam vihar society,sector 2,3.35,7444.444444444444,4.0,4.0,3+,2.0,New Property,5000.0,0,0,0,0,0,1,66
flat,godrej oasis,sector 88,1.5,8108.108108108108,3.0,3.0,3+,11.0,New Property,1674.0,0,0,0,0,0,1,39
flat,dlf new town heights,sector 91,1.65,6346.153846153846,4.0,4.0,3+,11.0,Moderately Old,2139.0,0,0,0,0,0,1,72
flat,dlf new town heights,sector 91,2.0,6966.213862765587,4.0,4.0,3+,16.0,Moderately Old,2468.0,0,0,1,0,0,1,65
flat,supertech hues,sector 68,0.9,7627.118644067797,2.0,2.0,2,1.0,New Property,1311.0,0,0,0,0,0,1,44
flat,krrish florence estate,sector 70,1.25,6702.412868632708,3.0,3.0,3,18.0,Under Construction,1688.0,0,0,0,0,0,1,51
flat,piedmont taksila heights,sector 37,1.0,6506.180871828236,3.0,3.0,3+,8.0,Relatively New,1708.0,0,0,0,0,0,0,49
flat,experion heartsong,dwarka expressway,1.08,6150.341685649203,3.0,3.0,0,2.0,Under Construction,1758.0,0,0,0,0,0,1,0
flat,ss the leaf,sector 85,2.15,8928.57142857143,3.0,5.0,3,2.0,New Property,2179.0,0,0,0,0,0,1,53
flat,m3m urbana,sector 67,1.0,12106.537530266343,1.0,1.0,1,17.0,Relatively New,826.0,0,0,0,0,0,1,49
flat,aipl zen residences,sector 70,1.65,13074.484944532487,2.0,2.0,3,23.0,New Property,1142.0,0,0,0,0,0,1,81
flat,dlf regal gardens,sector 90,1.79,8081.264108352145,4.0,3.0,3+,10.0,Moderately Old,2461.0,0,0,0,0,0,1,63
flat,godrej air,sector 85,1.8,13138.68613138686,3.0,3.0,3,30.0,Under Construction,141.0,0,0,0,0,0,1,45
flat,suncity vatsal valley,gwal pahari,1.45,10139.86013986014,3.0,3.0,3,4.0,Under Construction,1430.0,0,0,0,0,0,1,49
flat,project krishna colony,sector 7,0.36,5142.857142857143,2.0,2.0,1,0.0,Relatively New,700.0,0,0,0,0,0,1,0
flat,mvn athens,sohna road,0.25,4258.943781942078,2.0,2.0,1,0.0,Relatively New,587.0,0,0,0,0,0,1,38
flat,m3m antalya hills,sector 79,1.15,7496.740547588005,3.0,3.0,3+,1.0,Relatively New,1200.0,0,0,0,0,0,1,51
