,property_type,sector,price_in_crores,bedRoom,bathroom,balcony,agePossession,Built Up area,store room,servant room,furnishing_type,luxury_category,floor_category
882,flat,sector 104,1.73,3.0,4.0,3+,Relatively New,2072.0,0,0,1,High,High floor
883,flat,sector 106,0.97,2.0,2.0,3,New Property,1200.0,0,0,0,High,Mid floor
884,flat,sector 106,1.35,4.0,4.0,3+,Relatively New,2100.0,0,0,0,High,High floor
885,flat,sector 99,1.32,3.0,5.0,3,New Property,2641.0,0,0,1,Medium,High floor
886,flat,sohna road,0.71,2.0,2.0,3,Relatively New,1154.0,0,0,1,High,Mid floor
887,flat,sohna road,0.78,2.0,2.0,2,Relatively New,1319.0,0,0,0,Medium,Mid floor
888,flat,sector 65,5.5,3.0,4.0,3,Relatively New,2803.0,0,0,1,Low,Mid floor
889,flat,sector 81,2.3,3.0,4.0,3+,Relatively New,2818.0,0,0,2,High,High floor
890,flat,sector 95,0.43,2.0,2.0,2,Relatively New,1300.0,0,0,1,Medium,Mid floor
891,flat,sector 107,0.98,2.0,2.0,3,Relatively New,1975.0,0,0,0,High,Mid floor
892,flat,sector 107,0.8,2.0,2.0,3+,Relatively New,1822.0,0,0,0,High,Mid floor
893,flat,sector 104,2.65,4.0,4.0,3+,Relatively New,2851.0,0,0,1,High,Mid floor
894,flat,sector 43,2.35,3.0,3.0,2,Old Property,2274.0,0,0,0,Medium,Low floor
895,flat,sector 107,1.29,3.0,3.0,3+,Relatively New,2569.0,0,0,0,High,Low floor
896,flat,sector 104,1.83,3.0,4.0,3+,Relatively New,2000.0,0,0,1,High,Mid floor
897,flat,sector 107,1.39,3.0,4.0,3+,Relatively New,3126.0,0,0,0,High,Mid floor
898,flat,sector 83,1.12,3.0,3.0,2,Relatively New,1200.0,0,0,0,High,Mid floor
899,flat,sector 108,0.65,2.0,2.0,2,Relatively New,1235.0,0,0,0,High,Mid floor
900,flat,sector 91,1.5,3.0,4.0,3+,Relatively New,2836.0,0,0,1,Medium,Mid floor
901,flat,sector 91,1.9,4.0,4.0,3,Relatively New,2465.0,0,0,1,Medium,Mid floor
902,flat,sector 50,2.35,3.0,3.0,3,Moderately Old,2000.0,0,0,0,Medium,Mid floor
903,flat,sector 2,0.6,1.0,1.0,1,Moderately Old,665.0,0,0,0,Medium,Mid floor
904,flat,sector 28,2.0,3.0,3.0,1,Old Property,1240.0,0,0,0,Medium,High floor
905,flat,sector 74,1.57,2.0,2.0,3+,Relatively New,1300.0,0,0,1,Medium,Mid floor
906,flat,sector 37,1.44,3.0,3.0,3+,New Property,2211.0,0,0,1,Low,Mid floor
907,flat,sector 37,1.26,3.0,3.0,3,New Property,1400.0,0,0,1,Low,Mid floor
908,flat,sector 68,1.05,2.0,2.0,2,New Property,1200.0,0,0,0,Medium,High floor
909,flat,sector 53,6.44,4.0,4.0,3,Moderately Old,3068.0,0,0,0,Medium,Mid floor
910,flat,sector 62,7.56,4.0,4.0,3+,Relatively New,4200.0,0,0,0,Medium,High floor
911,flat,sector 43,3.8,3.0,3.0,3+,Moderately Old,2450.0,0,0,0,Medium,Low floor
912,flat,sector 54,6.75,4.0,4.0,2,Moderately Old,3299.0,0,0,2,Medium,Mid floor
913,flat,sector 90,0.65,2.0,2.0,3,Relatively New,1225.0,0,0,0,Low,High floor
914,flat,sector 109,1.75,3.0,4.0,3+,Relatively New,1797.0,0,0,1,High,Mid floor
915,flat,sector 56,1.54,3.0,4.0,3+,Old Property,1900.0,0,0,0,Medium,Mid floor
916,flat,sector 102,1.4,3.0,3.0,3,Relatively New,1493.0,0,0,0,Medium,Mid floor
917,flat,sector 102,0.97,2.0,2.0,2,Relatively New,828.0,0,0,1,Medium,High floor
918,flat,sector 102,1.35,2.0,2.0,2,Relatively New,1230.0,0,0,1,Medium,Mid floor
919,flat,sector 102,1.75,3.0,4.0,3+,Relatively New,1757.0,0,0,0,Medium,High floor
920,flat,sector 103,2.2,4.0,6.0,3+,Relatively New,2602.0,0,0,0,Medium,Mid floor
921,flat,sector 108,2.45,3.0,3.0,3,Relatively New,1460.0,0,0,1,Low,High floor
922,flat,sector 106,1.5,4.0,6.0,3+,Relatively New,1535.0,0,0,1,High,High floor
923,flat,sector 113,2.4,3.0,4.0,3+,Relatively New,1940.0,0,0,1,Low,Mid floor
924,flat,sector 113,2.45,3.0,3.0,3+,Relatively New,1890.0,0,0,1,High,Mid floor
925,flat,sector 113,3.0,3.0,3.0,3+,Relatively New,2460.0,0,0,1,High,Mid floor
926,flat,sector 113,1.65,3.0,2.0,2,Relatively New,1420.0,0,0,1,Low,Mid floor
927,flat,sector 106,0.88,2.0,2.0,3+,Relatively New,1120.0,0,0,1,Low,Mid floor
928,flat,sector 106,0.88,2.0,2.0,3+,Relatively New,940.0,0,0,1,Low,Low floor
929,flat,sector 106,1.28,3.0,4.0,3+,Relatively New,1186.0,0,0,1,Low,High floor
930,flat,sector 106,1.34,4.0,5.0,3+,Relatively New,1535.0,0,0,1,Low,Mid floor
931,flat,sector 106,1.32,4.0,5.0,3+,Relatively New,1535.0,0,0,1,Low,High floor
932,flat,sector 106,1.13,3.0,4.0,3+,Relatively New,1186.0,0,0,1,Low,High floor
933,flat,sector 99,1.38,4.0,5.0,3+,Relatively New,2150.0,0,0,1,Low,Low floor
934,flat,sector 99,1.16,3.0,3.0,3,Relatively New,1790.0,0,0,1,Low,Mid floor
935,flat,sector 113,2.33,3.0,3.0,3,New Property,2098.0,0,0,1,High,Mid floor
936,flat,sector 113,3.05,3.0,4.0,3,New Property,2600.0,0,0,1,High,High floor
937,flat,sector 83,1.25,3.0,2.0,1,Relatively New,1653.0,0,0,2,High,Mid floor
938,flat,sector 79,1.25,3.0,3.0,2,Relatively New,1945.0,0,0,0,High,Low floor
939,flat,sector 83,1.05,3.0,3.0,2,Relatively New,1588.0,0,0,0,High,High floor
940,flat,sector 79,1.25,3.0,3.0,3,Relatively New,1828.0,0,0,1,High,High floor
941,flat,sector 79,1.1,3.0,3.0,3,Relatively New,1828.0,0,0,0,Medium,High floor
942,flat,sector 83,1.3,3.0,3.0,3,Relatively New,2165.0,0,0,0,High,High floor
943,flat,sector 84,2.28,4.0,4.0,3+,Relatively New,4552.0,0,0,1,Medium,Mid floor
944,flat,sector 85,1.2,2.0,2.0,2,Relatively New,1190.0,0,0,1,Medium,Mid floor
945,flat,sector 85,1.22,2.0,2.0,3,Relatively New,1300.0,0,0,1,Medium,High floor
946,flat,sector 85,1.1,2.0,2.0,3,Relatively New,1173.0,0,0,1,Medium,High floor
947,flat,sector 85,1.15,2.0,2.0,3,Relatively New,1263.0,0,0,1,Medium,High floor
948,flat,sector 79,1.2,3.0,3.0,3,Relatively New,1849.0,0,0,0,High,High floor
949,flat,sector 83,1.4,3.0,3.0,3,Relatively New,2165.0,0,0,0,High,Low floor
950,flat,sector 83,1.1,3.0,3.0,2,Relatively New,1588.0,0,0,0,High,Mid floor
951,flat,sector 83,1.0,3.0,3.0,2,Relatively New,1575.0,0,0,0,High,Low floor
952,flat,sector 84,1.52,3.0,4.0,3,Relatively New,2574.0,0,0,1,Medium,High floor
953,flat,sector 83,1.8,3.0,4.0,3,Relatively New,2411.0,0,0,0,High,Mid floor
954,flat,sector 83,1.6,3.0,3.0,3+,Relatively New,1674.0,0,0,0,High,Mid floor
955,flat,sector 79,1.55,3.0,4.0,3,Relatively New,2238.0,0,0,0,High,High floor
956,flat,sector 79,1.3,3.0,3.0,2,Relatively New,1948.0,0,0,1,High,Mid floor
957,flat,sector 81,2.25,3.0,4.0,3+,Relatively New,2300.0,0,0,0,Medium,Mid floor
958,flat,sector 49,4.79,5.0,5.0,3+,Relatively New,3724.0,0,0,1,Low,High floor
959,flat,sector 90,1.25,3.0,3.0,3,Relatively New,1650.0,0,0,0,Low,Mid floor
960,flat,sector 91,1.4,3.0,3.0,3+,Relatively New,1700.0,0,0,1,Medium,Mid floor
961,flat,sector 88,1.38,3.0,3.0,3+,Relatively New,2296.0,0,0,1,Medium,Mid floor
962,flat,sector 88,1.3,3.0,3.0,3+,Relatively New,1990.0,0,0,1,Medium,Mid floor
963,flat,sector 79,1.0,2.0,2.0,2,Relatively New,1300.0,0,0,1,Low,Mid floor
964,flat,sector 88,1.0,2.0,2.0,3,Relatively New,1611.0,0,0,1,Medium,Mid floor
965,flat,sector 88,0.95,2.0,2.0,2,Relatively New,1452.0,0,0,1,Medium,Mid floor
966,flat,sector 66,1.85,2.0,3.0,3,Relatively New,1470.0,0,0,0,Medium,High floor
967,flat,sector 77,1.65,4.0,3.0,3,Relatively New,1765.0,0,0,1,Medium,Mid floor
968,flat,sector 107,1.32,3.0,3.0,3,Relatively New,1758.0,0,0,1,Medium,Mid floor
969,flat,sector 107,1.02,2.0,2.0,3,Relatively New,1388.0,0,0,1,Medium,Mid floor
970,flat,sector 109,1.88,4.0,5.0,3,Relatively New,2765.0,0,0,1,Medium,Mid floor
971,flat,sector 102,2.15,3.0,4.0,3,Relatively New,1945.0,0,0,1,Medium,High floor
972,flat,sector 111,2.58,3.0,4.0,2,Moderately Old,2200.0,0,0,1,Medium,Mid floor
973,flat,sector 111,2.25,3.0,3.0,2,Relatively New,1538.0,0,0,1,Medium,High floor
974,flat,sector 109,1.75,3.0,4.0,3+,Relatively New,1946.0,0,0,1,Medium,Mid floor
975,flat,sector 108,0.93,2.0,3.0,3,Relatively New,1161.0,0,0,1,Medium,Mid floor
976,flat,sector 112,4.75,3.0,5.0,3+,Relatively New,3405.0,0,0,0,Low,Mid floor
977,flat,sector 79,1.72,3.0,4.0,3+,Relatively New,2668.0,0,0,0,High,Mid floor
978,flat,sector 72,6.75,4.0,4.0,3+,New Property,4000.0,0,0,0,High,Low floor
979,flat,sector 62,2.45,2.0,2.0,2,New Property,1200.0,0,0,2,High,Mid floor
980,flat,sector 85,2.2,4.0,5.0,3+,Relatively New,2545.0,0,0,1,Medium,Mid floor
981,flat,sector 72,5.25,4.0,4.0,3+,New Property,3000.0,0,0,0,High,High floor
982,flat,sector 72,5.0,4.0,4.0,3+,New Property,4000.0,0,0,0,High,Low floor
983,flat,sector 72,5.0,4.0,4.0,3+,Moderately Old,4500.0,0,0,0,High,Low floor
984,flat,sector 113,2.7,3.0,4.0,3+,Relatively New,2217.0,0,0,0,Low,Mid floor
985,flat,sector 48,2.65,4.0,4.0,3+,Moderately Old,3295.0,0,0,0,High,High floor
986,flat,sector 22,1.65,2.0,2.0,2,Relatively New,1200.0,0,0,2,Medium,Mid floor
987,flat,sector 22,2.55,3.0,3.0,3,Relatively New,1860.0,0,0,2,Medium,Mid floor
988,flat,sector 22,2.55,3.0,3.0,3,Relatively New,1860.0,0,0,2,Low,Mid floor
989,flat,sector 22,4.3,3.0,4.0,3+,Relatively New,2600.0,0,0,2,Medium,Mid floor
990,flat,sector 69,1.7,4.0,4.0,2,Relatively New,2714.0,0,0,1,High,Mid floor
991,flat,sector 22,2.4,2.0,2.0,2,Relatively New,1200.0,0,0,2,Medium,Mid floor
992,flat,sector 37,0.87,2.0,3.0,3+,Relatively New,1300.0,0,0,1,Medium,Mid floor
993,flat,sector 37,1.25,3.0,3.0,3,Relatively New,1350.0,0,0,1,Low,Mid floor
994,flat,sector 37,0.99,3.0,5.0,3+,Relatively New,1400.0,0,0,1,Low,Mid floor
995,flat,sector 102,1.39,3.0,3.0,3,Relatively New,1493.0,0,0,0,Low,Mid floor
996,flat,sector 50,2.7,3.0,3.0,3+,Moderately Old,2400.0,0,0,1,High,Mid floor
997,flat,sector 37,1.75,4.0,4.0,3,Relatively New,2100.0,0,0,0,Medium,Mid floor
998,flat,sector 37,1.55,4.0,3.0,3+,Relatively New,2100.0,0,0,0,Medium,High floor
999,flat,sector 37,1.6,4.0,3.0,3+,Relatively New,2000.0,0,0,0,Medium,Mid floor
1000,flat,sector 109,1.4,3.0,3.0,3+,Relatively New,1466.0,0,0,1,Low,Mid floor
1001,flat,sector 70,1.8,3.0,3.0,3,Relatively New,1925.0,0,0,1,Medium,Mid floor
1002,flat,sector 107,1.65,4.0,5.0,3+,Relatively New,2505.0,0,0,1,Low,High floor
1003,flat,sector 30,3.55,3.0,5.0,3+,Old Property,2367.0,0,0,0,Medium,High floor
1004,flat,sector 43,6.0,4.0,4.0,3+,Old Property,2556.0,0,0,0,High,High floor
1005,flat,sector 48,1.8,3.0,4.0,3,Moderately Old,1951.0,0,0,0,Medium,Mid floor
1006,flat,sector 70,2.5,3.0,4.0,3,Relatively New,2127.0,0,0,0,High,Mid floor
1007,flat,sector 39,1.5,4.0,3.0,3,Old Property,2611.0,0,0,2,Low,Mid floor
1008,flat,sector 83,1.04,3.0,2.0,2,Moderately Old,1500.0,0,0,1,Medium,Low floor
1009,flat,sector 67,0.53,2.0,2.0,1,Relatively New,657.0,0,0,0,Low,Mid floor
1010,flat,sector 70,1.64,3.0,5.0,3,Relatively New,2410.0,0,0,1,Medium,Mid floor
1011,flat,sector 65,2.9,4.0,4.0,3+,Relatively New,1975.0,0,0,0,High,Mid floor
1012,flat,sector 65,2.36,3.0,3.0,3,Relatively New,1493.0,0,0,0,High,Low floor
1013,flat,sector 54,4.85,3.0,4.0,3+,Moderately Old,1607.0,0,0,2,High,Mid floor
1014,flat,sector 83,1.25,3.0,3.0,2,Relatively New,1792.0,0,0,1,Medium,Low floor
1015,flat,sector 90,0.92,3.0,3.0,2,Relatively New,2167.0,0,0,0,Low,Mid floor
1016,flat,sector 81,2.7,3.0,3.0,3,Relatively New,2343.0,0,0,0,Low,High floor
1017,flat,sector 90,0.7,2.0,3.0,2,Relatively New,1502.0,0,0,0,Low,Mid floor
1018,flat,sector 85,1.25,2.0,2.0,2,Relatively New,1934.0,0,0,0,Low,High floor
1019,flat,sector 85,2.3,4.0,4.0,3+,Relatively New,2545.0,0,0,1,Low,Mid floor
1020,flat,sector 85,2.0,3.0,4.0,3,Relatively New,2179.0,0,0,1,Low,Mid floor
1021,flat,sector 83,1.08,3.0,3.0,2,Relatively New,1570.0,0,0,1,Low,High floor
1022,flat,sector 65,1.73,3.0,3.0,3,Relatively New,1262.0,0,0,2,High,Mid floor
1023,flat,sector 65,1.3,2.0,2.0,2,Relatively New,1274.0,0,0,1,Medium,Mid floor
1024,flat,sector 65,2.85,4.0,4.0,3+,Relatively New,1975.0,0,0,0,High,Low floor
1025,flat,sector 65,2.25,3.0,3.0,3+,Relatively New,1493.0,0,0,1,High,Mid floor
1026,flat,sector 65,2.35,3.0,3.0,3,Relatively New,1493.0,0,0,0,High,Low floor
1027,flat,sector 65,2.8,4.0,4.0,3,Relatively New,1650.0,0,0,0,Medium,Low floor
1028,flat,sector 65,2.35,3.0,3.0,3,Relatively New,1500.0,0,0,0,Medium,Low floor
1029,flat,sector 65,2.75,4.0,4.0,3,Relatively New,1975.0,0,0,0,Medium,Mid floor
1030,flat,sector 65,2.36,3.0,3.0,3,Relatively New,2271.0,0,0,0,Medium,Low floor
1031,flat,sector 66,3.4,4.0,4.0,3+,Relatively New,2210.0,0,0,0,High,Low floor
1032,flat,sector 77,0.8,2.0,2.0,2,Relatively New,1770.0,0,0,0,Low,Mid floor
1033,flat,gwal pahari,7.0,4.0,4.0,3+,Relatively New,5430.0,0,0,1,Medium,Mid floor
1034,flat,sector 50,1.8,3.0,4.0,3+,Moderately Old,1870.0,0,0,0,High,Mid floor
1035,flat,sector 50,2.65,3.0,4.0,3+,Moderately Old,2470.0,0,0,0,High,Mid floor
1036,flat,sector 83,1.05,3.0,3.0,3,Relatively New,2404.0,0,0,1,Medium,Mid floor
1037,flat,sector 50,1.88,3.0,3.0,3+,Moderately Old,1790.0,0,0,0,High,High floor
1038,flat,sector 84,1.15,2.0,2.0,3,Relatively New,2055.0,0,0,0,Low,Mid floor
1039,flat,sector 83,1.33,4.0,4.0,3,Relatively New,3274.0,0,0,1,Low,Mid floor
1040,flat,sector 50,2.6,3.0,4.0,2,Relatively New,2700.0,0,0,0,High,High floor
1041,flat,sector 50,2.97,3.0,3.0,3+,Moderately Old,2600.0,0,0,0,High,Mid floor
1042,flat,sector 69,1.8,4.0,4.0,2,Relatively New,1819.0,0,0,0,High,Mid floor
1043,flat,sector 69,1.78,4.0,4.0,2,Relatively New,1819.0,0,0,0,High,Mid floor
1044,flat,sector 69,1.52,3.0,3.0,2,Relatively New,1428.0,0,0,0,High,Mid floor
1045,flat,sector 69,1.55,3.0,3.0,2,Relatively New,1428.0,0,0,0,High,Mid floor
1046,flat,sector 86,1.55,3.0,3.0,1,Relatively New,1900.0,0,0,0,High,High floor
1047,flat,sector 83,0.4,1.0,1.0,1,Relatively New,520.0,0,0,2,Medium,Mid floor
1048,flat,sector 70,2.4,3.0,3.0,3,Relatively New,1946.0,0,0,1,Medium,High floor
1049,flat,sector 82,1.37,3.0,3.0,3,Relatively New,2000.0,0,0,0,Medium,High floor
1050,flat,sector 49,2.65,3.0,4.0,3,Moderately Old,2251.0,0,0,0,Medium,High floor
1051,flat,sector 104,1.16,3.0,4.0,3+,Relatively New,2018.0,0,0,0,Medium,Mid floor
1052,flat,sector 104,1.05,3.0,4.0,3+,Relatively New,2000.0,0,0,0,Medium,Mid floor
1053,flat,sector 104,1.35,4.0,5.0,3+,Relatively New,3000.0,0,0,1,Medium,Low floor
1054,flat,sector 104,1.35,4.0,5.0,3+,Relatively New,2991.0,0,0,1,Medium,Low floor
1055,flat,sector 66,2.85,3.0,3.0,3,Relatively New,1950.0,0,0,0,Medium,High floor
1056,flat,sector 84,0.35,2.0,2.0,1,Relatively New,528.0,0,0,1,Low,Mid floor
1057,flat,sector 107,0.88,2.0,2.0,3+,Relatively New,1236.0,0,0,1,Medium,Mid floor
1058,flat,sector 102,2.4,3.0,4.0,3+,Relatively New,3500.0,0,0,0,Low,Mid floor
1059,flat,sector 60,3.6,4.0,5.0,3,Relatively New,3876.0,0,0,0,Low,High floor
1060,flat,gwal pahari,7.5,4.0,4.0,3+,New Property,4842.0,0,0,0,Low,High floor
1061,flat,sector 113,1.45,2.0,2.0,2,Relatively New,1657.0,0,0,1,Medium,Mid floor
1062,flat,sector 50,2.35,3.0,3.0,3+,Moderately Old,1950.0,0,0,0,High,Mid floor
1063,flat,sector 82,0.94,2.0,2.0,2,Relatively New,1299.0,0,0,0,Medium,High floor
1064,flat,sector 82,0.81,2.0,2.0,2,Relatively New,1176.0,0,0,0,Medium,High floor
1065,flat,sector 50,3.1,3.0,4.0,3+,Moderately Old,2450.0,0,0,0,High,Mid floor
1066,flat,sector 82,1.39,3.0,3.0,3+,Relatively New,1955.0,0,0,0,Medium,High floor
1067,flat,sector 82,0.94,2.0,2.0,3+,Relatively New,1299.0,0,0,0,Medium,Mid floor
1068,flat,sector 82,0.78,2.0,2.0,2,Relatively New,1175.0,0,0,0,Medium,Low floor
1069,flat,sector 82,0.85,2.0,2.0,2,Relatively New,1294.0,0,0,1,Medium,Mid floor
1070,flat,sector 85,0.69,2.0,2.0,2,Relatively New,1075.0,0,0,1,Low,Mid floor
1071,flat,sector 79,2.03,3.0,4.0,3+,Relatively New,2031.0,0,0,1,Medium,Mid floor
1072,flat,sector 85,0.8,3.0,4.0,3,Relatively New,1390.0,0,0,0,Low,Mid floor
1073,flat,sector 90,0.65,2.0,2.0,3,Relatively New,1050.0,0,0,1,Medium,Mid floor
1074,flat,sector 84,1.01,3.0,3.0,2,Relatively New,1475.0,0,0,1,Low,High floor
1075,flat,sector 90,1.27,4.0,5.0,2,New Property,3414.0,0,0,1,Medium,Mid floor
1076,flat,sector 83,0.84,2.0,2.0,2,Moderately Old,1127.0,0,0,0,High,Mid floor
1077,flat,sector 85,1.77,3.0,4.0,3,Moderately Old,1450.0,0,0,0,Medium,Mid floor
1078,flat,sector 69,1.68,4.0,4.0,2,Relatively New,1819.0,0,0,1,Medium,Low floor
1079,flat,sector 69,1.66,4.0,4.0,1,Relatively New,1783.0,0,0,1,Medium,High floor
1080,flat,sector 69,1.4,3.0,3.0,2,Relatively New,1428.0,0,0,1,Medium,Low floor
1081,flat,sector 81,2.29,3.0,4.0,3+,Relatively New,1900.0,0,0,2,Medium,High floor
1082,flat,sector 90,1.21,3.0,3.0,3+,Relatively New,1929.0,0,0,1,Medium,Mid floor
1083,flat,sector 92,0.5,3.0,3.0,2,Relatively New,1068.0,0,0,1,Low,Low floor
1084,flat,sector 77,0.71,2.0,2.0,2,Relatively New,1664.0,0,0,1,Medium,Mid floor
1085,flat,sector 65,3.0,4.0,4.0,3+,Relatively New,1975.0,0,0,1,Medium,Low floor
1086,flat,sector 90,1.2,3.0,3.0,3+,Relatively New,2366.0,0,0,1,Medium,High floor
1087,flat,sector 72,3.25,3.0,3.0,3,Moderately Old,2986.0,0,0,1,Medium,Low floor
1088,flat,sohna road,0.9,2.0,2.0,3+,Moderately Old,1100.0,0,0,0,High,Mid floor
1089,flat,sohna road,1.07,3.0,3.0,3+,Relatively New,1600.0,0,0,1,High,Mid floor
1090,flat,sector 85,1.2,2.0,2.0,3,Relatively New,1484.0,0,0,0,High,High floor
1091,flat,sector 85,2.15,4.0,5.0,3+,Relatively New,2545.0,0,0,1,High,Low floor
1092,flat,sector 69,1.72,4.0,4.0,1,Relatively New,1783.0,0,0,1,Medium,High floor
1093,flat,sector 69,1.36,3.0,3.0,1,Relatively New,1392.0,0,0,1,Medium,High floor
1094,flat,sector 69,1.75,4.0,4.0,1,Relatively New,1783.0,0,0,1,Medium,High floor
1095,flat,sector 69,1.75,4.0,4.0,1,Relatively New,1783.0,0,0,1,Medium,High floor
1096,flat,sector 69,1.38,3.0,3.0,1,Relatively New,1392.0,0,0,1,Medium,High floor
1097,flat,sector 69,1.29,3.0,3.0,1,Relatively New,1419.0,0,0,0,Medium,High floor
1098,flat,sector 69,1.37,3.0,3.0,1,Relatively New,2283.0,0,0,1,Medium,High floor
1099,flat,sector 69,1.32,3.0,3.0,1,Relatively New,1419.0,0,0,0,Medium,High floor
1100,flat,sector 69,1.3,3.0,3.0,1,Relatively New,1392.0,0,0,0,Medium,High floor
1101,flat,sector 86,1.3,3.0,3.0,3,Moderately Old,1747.0,0,0,0,High,High floor
1102,flat,sector 86,1.5,3.0,3.0,1,Relatively New,1550.0,0,0,1,High,High floor
1103,flat,sector 69,1.68,4.0,4.0,2,Relatively New,1819.0,0,0,1,Medium,Low floor
1104,flat,sector 69,1.4,3.0,3.0,2,Relatively New,1428.0,0,0,1,Medium,High floor
1105,flat,sector 86,1.5,3.0,3.0,1,Relatively New,1719.0,0,0,1,Low,High floor
1106,flat,sector 107,0.5,3.0,2.0,2,Relatively New,717.0,0,0,1,Low,Mid floor
1107,flat,sector 107,0.36,2.0,2.0,1,Relatively New,598.0,0,0,1,Low,Mid floor
1108,flat,sector 72,3.1,4.0,5.0,3+,Moderately Old,5470.0,0,0,1,Medium,Mid floor
1109,flat,sector 95,0.31,2.0,2.0,1,Relatively New,610.0,0,0,0,Medium,Mid floor
1110,flat,sector 92,0.71,3.0,3.0,3,Relatively New,1473.0,0,0,1,Medium,Low floor
1111,flat,sector 83,1.15,3.0,3.0,1,Moderately Old,2436.0,0,0,0,Medium,Mid floor
1112,flat,sector 83,1.05,3.0,2.0,2,Moderately Old,1600.0,0,0,0,Medium,Low floor
1113,flat,sector 61,2.1,3.0,3.0,3,Relatively New,2407.0,0,0,0,Low,High floor
1114,flat,sector 107,0.28,2.0,2.0,2,Relatively New,543.0,0,0,1,Low,Low floor
1115,flat,sector 107,0.28,2.0,2.0,2,Relatively New,543.0,0,0,1,Low,High floor
1116,flat,sector 107,0.28,2.0,2.0,2,Relatively New,543.0,0,0,1,Low,High floor
1117,flat,sector 107,0.28,2.0,2.0,2,Relatively New,543.0,0,0,1,Low,Mid floor
1118,flat,sector 103,0.23,1.0,1.0,1,Relatively New,400.0,0,0,1,Low,Mid floor
1119,flat,sector 107,0.35,2.0,2.0,2,Relatively New,608.0,0,0,1,Low,Mid floor
1120,flat,sector 107,0.51,3.0,2.0,2,Relatively New,717.0,0,0,1,Low,Mid floor
1121,flat,sector 107,0.35,2.0,2.0,2,Relatively New,608.0,0,0,1,Low,Mid floor
1122,flat,sector 107,0.28,2.0,2.0,2,Relatively New,543.0,0,0,1,Low,High floor
1123,flat,sector 107,0.36,2.0,2.0,2,Relatively New,608.0,0,0,1,Low,Mid floor
1124,flat,sector 65,2.0,3.0,3.0,3,Relatively New,1833.0,0,0,0,Medium,Low floor
1125,flat,sector 66,2.7,4.0,4.0,3,Relatively New,2501.0,0,0,1,Low,Mid floor
1126,flat,sector 65,4.94,3.0,4.0,3,Moderately Old,2754.0,0,0,1,High,High floor
1127,flat,sector 69,1.75,4.0,4.0,2,Relatively New,1819.0,0,0,0,Medium,Mid floor
1128,flat,sector 90,1.25,4.0,5.0,2,Relatively New,2330.0,0,0,1,High,Mid floor
1129,flat,sector 90,0.92,3.0,4.0,3,Relatively New,2342.0,0,0,1,Medium,Mid floor
1130,flat,sector 90,1.3,4.0,5.0,2,Relatively New,3254.0,0,0,1,Medium,Mid floor
1131,flat,sector 69,0.62,2.0,2.0,1,Relatively New,536.0,0,0,0,Medium,Mid floor
1132,flat,sector 69,1.92,4.0,5.0,3+,Relatively New,2172.0,0,0,0,High,Mid floor
1133,flat,sector 56,2.0,4.0,4.0,3,Relatively New,3338.0,0,0,0,Low,Mid floor
1134,flat,sector 70,2.0,4.0,5.0,3+,Relatively New,2172.0,0,0,0,Low,Low floor
1135,flat,manesar,0.75,3.0,4.0,3,Relatively New,2717.0,0,0,1,Low,Mid floor
1136,flat,sector 85,1.85,3.0,4.0,3,Relatively New,2179.0,0,0,0,Low,Low floor
1137,flat,sector 91,0.89,2.0,2.0,3+,Relatively New,1937.0,0,0,0,Low,Mid floor
1138,flat,sector 85,1.25,3.0,4.0,2,Relatively New,1616.0,0,0,0,Low,Mid floor
1139,flat,sector 102,2.15,3.0,3.0,3,Relatively New,1690.0,0,0,0,Low,Mid floor
1140,flat,sector 67,3.05,3.0,3.0,3+,Relatively New,3120.0,0,0,0,High,High floor
1141,flat,sector 67,2.65,3.0,3.0,3,Relatively New,2047.0,0,0,0,High,Low floor
1142,flat,sector 81,0.49,2.0,2.0,3,Relatively New,700.0,0,0,1,Medium,Mid floor
1143,flat,sector 70,1.82,3.0,3.0,3,Relatively New,1600.0,0,0,1,Medium,High floor
1144,flat,sector 81,0.5,2.0,2.0,3,Relatively New,700.0,0,0,1,Medium,Mid floor
1145,flat,sector 77,0.92,3.0,3.0,3,Relatively New,2427.0,0,0,0,Low,High floor
1146,flat,sector 70,1.65,3.0,4.0,3,Relatively New,2469.0,0,0,2,High,Low floor
1147,flat,sector 70,1.1,2.0,2.0,2,Relatively New,1312.0,0,0,1,Low,Mid floor
1148,flat,sector 70,1.55,3.0,3.0,3,Relatively New,1600.0,0,0,1,Low,Mid floor
1149,flat,sector 70,1.25,3.0,3.0,2,Relatively New,1300.0,0,0,1,Low,Low floor
1150,flat,sector 70,1.6,4.0,4.0,3,Relatively New,1600.0,0,0,1,Low,Low floor
1151,flat,sector 70,1.15,2.0,2.0,3,Relatively New,1222.0,0,0,1,Low,Mid floor
1152,flat,sector 70,1.6,3.0,3.0,3,Relatively New,2410.0,0,0,1,Low,Mid floor
1153,flat,sector 81,4.0,4.0,5.0,3+,Relatively New,3801.0,0,0,0,Medium,High floor
1154,flat,sector 81,2.22,3.0,4.0,3+,Relatively New,2407.0,0,0,0,High,High floor
1155,flat,sector 81,3.0,4.0,5.0,2,Relatively New,2882.0,0,0,0,Medium,Mid floor
1156,flat,sector 82,1.0,2.0,2.0,2,Relatively New,1299.0,0,0,0,Medium,High floor
1157,flat,sector 62,10.75,5.0,7.0,3,Relatively New,4990.0,0,0,0,High,Mid floor
1158,flat,sector 62,9.14,4.0,6.0,3,Relatively New,6054.0,0,0,0,Medium,High floor
