,property_type,sector,bedRoom,bathroom,balcony,agePossession,Built Up area,store room,servant room,furnishing_type,luxury_category,floor_category,price_in_crores
2478,0.0,100.0,2.0,2.0,3.0,3.0,913.0,0,0,1,2.0,2.0,0.55
2479,0.0,69.0,3.0,3.0,2.0,3.0,200.0,0,0,1,1.0,1.0,1.2
2480,0.0,77.0,2.0,2.0,4.0,3.0,1582.0,0,0,1,2.0,0.0,1.78
2481,0.0,67.0,2.0,2.0,2.0,3.0,1358.0,0,0,1,1.0,0.0,1.9
2482,0.0,100.0,2.0,2.0,1.0,3.0,535.0,0,0,1,2.0,2.0,0.26
2483,0.0,84.0,2.0,2.0,2.0,3.0,1194.0,0,0,1,1.0,2.0,0.89
2484,0.0,64.0,2.0,2.0,2.0,1.0,1278.0,0,0,1,2.0,2.0,1.6
2485,0.0,29.0,4.0,5.0,3.0,2.0,6300.0,0,0,1,1.0,2.0,14.0
2486,0.0,89.0,3.0,3.0,2.0,1.0,1690.0,0,0,1,1.0,2.0,0.9
2487,0.0,39.0,3.0,3.0,3.0,3.0,1990.0,0,0,1,2.0,2.0,1.1
2488,0.0,91.0,2.0,2.0,2.0,1.0,1287.0,0,0,1,2.0,1.0,0.95
2489,0.0,93.0,2.0,2.0,1.0,1.0,767.0,0,0,1,1.0,1.0,0.47
2490,0.0,20.0,4.0,3.0,3.0,2.0,3150.0,0,0,1,1.0,2.0,2.7
2491,0.0,81.0,2.0,2.0,3.0,1.0,1385.0,0,0,1,1.0,2.0,0.95
2492,0.0,80.0,3.0,3.0,3.0,0.0,1969.0,0,0,1,1.0,2.0,1.15
2493,0.0,39.0,3.0,3.0,3.0,4.0,1500.0,0,0,1,2.0,1.0,0.9
2494,0.0,38.0,3.0,2.0,3.0,1.0,1122.0,0,0,1,2.0,1.0,1.0
2495,0.0,14.0,3.0,3.0,1.0,1.0,2519.0,0,0,1,1.0,2.0,1.5
2496,0.0,20.0,3.0,4.0,2.0,2.0,2000.0,0,0,1,1.0,1.0,1.15
2497,0.0,37.0,2.0,2.0,2.0,1.0,1095.0,0,0,1,1.0,2.0,1.3
2498,0.0,98.0,4.0,4.0,4.0,1.0,2835.0,0,0,1,2.0,1.0,1.9
2499,0.0,4.0,3.0,4.0,4.0,3.0,1956.0,0,0,1,1.0,2.0,2.2
2500,0.0,4.0,3.0,4.0,4.0,3.0,1956.0,0,0,1,1.0,2.0,2.2
2501,0.0,73.0,6.0,7.0,4.0,3.0,5333.0,0,0,1,2.0,1.0,5.0
2502,0.0,87.0,2.0,2.0,3.0,1.0,1222.0,0,0,1,1.0,2.0,0.85
2503,0.0,57.0,4.0,3.0,4.0,0.0,2000.0,0,0,2,1.0,2.0,1.9
2504,0.0,12.0,2.0,2.0,4.0,1.0,1236.0,0,0,1,2.0,0.0,0.9
2505,0.0,95.0,2.0,2.0,1.0,1.0,646.0,0,0,0,1.0,2.0,0.45
2506,0.0,95.0,2.0,2.0,3.0,3.0,1303.0,0,0,1,1.0,1.0,0.78
2507,0.0,45.0,4.0,4.0,4.0,0.0,2712.0,0,0,1,1.0,2.0,6.2
2508,0.0,7.0,2.0,2.0,3.0,0.0,1368.0,0,0,1,1.0,0.0,1.6
2509,0.0,91.0,2.0,3.0,2.0,1.0,1226.0,0,0,0,2.0,2.0,0.86
2510,0.0,95.0,3.0,3.0,1.0,3.0,833.0,0,0,1,1.0,2.0,0.45
2511,0.0,13.0,2.0,3.0,3.0,3.0,1283.0,0,0,1,2.0,2.0,1.02
2512,0.0,100.0,2.0,2.0,2.0,3.0,1192.0,0,0,1,2.0,2.0,0.4
2513,0.0,61.0,3.0,1.0,0.0,4.0,2295.0,0,0,1,1.0,1.0,3.9
2514,0.0,67.0,3.0,3.0,2.0,3.0,1654.0,0,0,1,1.0,2.0,2.44
2515,0.0,78.0,3.0,3.0,4.0,3.0,1597.0,0,0,0,2.0,2.0,1.05
2516,0.0,7.0,3.0,3.0,3.0,1.0,2410.0,0,0,1,2.0,2.0,2.12
2517,0.0,96.0,3.0,4.0,2.0,3.0,1350.0,0,0,0,2.0,0.0,1.45
2518,0.0,100.0,2.0,2.0,2.0,1.0,640.0,0,0,1,1.0,1.0,0.27
2519,0.0,100.0,2.0,2.0,1.0,3.0,508.0,0,0,0,2.0,1.0,0.27
2520,0.0,73.0,3.0,4.0,4.0,1.0,1923.0,0,0,1,2.0,0.0,1.65
2521,0.0,19.0,3.0,3.0,2.0,4.0,1429.0,0,0,1,2.0,2.0,1.93
2522,0.0,74.0,2.0,2.0,2.0,0.0,1086.0,0,0,1,1.0,2.0,0.82
2523,0.0,100.0,2.0,2.0,2.0,3.0,520.0,0,0,1,1.0,2.0,0.28
2524,0.0,100.0,1.0,1.0,0.0,3.0,484.0,0,0,1,1.0,1.0,0.21
2525,0.0,37.0,2.0,2.0,2.0,1.0,1275.0,0,0,1,1.0,2.0,1.1
2526,0.0,64.0,2.0,2.0,2.0,1.0,1278.0,0,0,1,1.0,2.0,1.6
2527,0.0,39.0,3.0,3.0,3.0,3.0,1389.0,0,0,1,1.0,1.0,1.1
2528,0.0,19.0,4.0,4.0,4.0,1.0,2553.0,0,0,1,2.0,0.0,3.25
2529,0.0,8.0,2.0,2.0,3.0,0.0,1288.0,0,0,1,1.0,2.0,1.2
2530,0.0,100.0,2.0,2.0,2.0,3.0,602.0,0,0,1,1.0,1.0,0.38
2531,0.0,64.0,3.0,3.0,3.0,1.0,1924.0,0,0,1,2.0,2.0,2.45
2532,0.0,91.0,2.0,2.0,2.0,1.0,1226.0,0,0,1,1.0,1.0,0.85
2533,0.0,45.0,4.0,5.0,2.0,3.0,2661.0,0,0,1,1.0,2.0,6.5
2534,0.0,34.0,2.0,2.0,1.0,3.0,894.0,0,0,1,2.0,2.0,0.28
2535,0.0,54.0,4.0,4.0,3.0,0.0,2100.0,0,0,1,1.0,1.0,1.55
2536,0.0,2.0,4.0,4.0,4.0,0.0,1850.0,0,0,1,2.0,2.0,1.5
2537,0.0,81.0,2.0,2.0,2.0,1.0,1688.0,0,0,1,1.0,0.0,0.8
2538,0.0,95.0,4.0,3.0,3.0,4.0,2093.0,0,0,1,2.0,2.0,1.22
2539,0.0,11.0,4.0,3.0,3.0,2.0,1678.0,0,0,1,2.0,0.0,1.35
2540,0.0,67.0,3.0,3.0,0.0,3.0,1828.0,0,0,1,1.0,0.0,2.8
2541,0.0,13.0,3.0,4.0,0.0,3.0,2850.0,0,0,1,1.0,0.0,1.5
2542,0.0,8.0,2.0,2.0,2.0,3.0,1361.0,0,0,1,1.0,2.0,0.8
2543,0.0,97.0,2.0,2.0,0.0,1.0,990.0,0,0,1,1.0,2.0,0.46
2544,0.0,97.0,2.0,2.0,1.0,1.0,950.0,0,0,1,1.0,0.0,0.3
2545,0.0,39.0,3.0,3.0,4.0,3.0,1725.0,0,0,1,1.0,1.0,1.25
2546,0.0,58.0,1.0,1.0,2.0,2.0,667.0,0,0,1,1.0,2.0,0.5
2547,0.0,81.0,2.0,2.0,0.0,3.0,1295.0,0,0,1,1.0,0.0,0.9
2548,0.0,100.0,2.0,2.0,3.0,1.0,822.0,0,0,1,2.0,1.0,0.65
2549,0.0,39.0,2.0,2.0,4.0,3.0,1430.0,0,0,1,2.0,0.0,0.75
2550,0.0,79.0,3.0,3.0,3.0,3.0,1735.0,0,0,1,1.0,2.0,1.4
2551,0.0,71.0,4.0,3.0,0.0,3.0,1826.0,0,0,1,1.0,1.0,1.0
2552,0.0,73.0,3.0,4.0,3.0,1.0,2410.0,0,0,1,1.0,1.0,1.8
2553,0.0,37.0,2.0,2.0,4.0,1.0,1111.0,0,0,1,2.0,2.0,1.2
2554,0.0,8.0,2.0,2.0,3.0,3.0,1365.0,0,0,0,2.0,1.0,1.05
2555,0.0,95.0,3.0,2.0,2.0,3.0,1473.0,0,0,2,1.0,0.0,0.66
2556,0.0,9.0,3.0,3.0,4.0,1.0,2544.0,0,0,1,2.0,2.0,1.95
2557,0.0,91.0,2.0,2.0,2.0,1.0,998.0,0,0,1,1.0,1.0,0.9
2558,0.0,78.0,2.0,2.0,2.0,4.0,823.0,0,0,1,1.0,2.0,0.55
2559,0.0,95.0,3.0,3.0,0.0,3.0,1572.0,0,0,1,1.0,2.0,0.7
2560,0.0,100.0,2.0,2.0,0.0,3.0,567.0,0,0,1,1.0,2.0,0.3
2561,0.0,80.0,3.0,3.0,3.0,0.0,1853.0,0,0,1,1.0,2.0,1.05
2562,0.0,27.0,3.0,4.0,4.0,1.0,2000.0,0,0,0,2.0,2.0,3.5
2563,0.0,95.0,4.0,5.0,4.0,3.0,1895.0,0,0,1,1.0,0.0,0.95
2564,0.0,88.0,3.0,3.0,3.0,3.0,2129.0,0,0,1,1.0,0.0,2.6
2565,0.0,95.0,4.0,4.0,4.0,3.0,1734.0,0,0,1,2.0,2.0,0.75
2566,0.0,99.0,4.0,4.0,4.0,2.0,2580.0,0,0,1,1.0,2.0,1.3
2567,0.0,50.0,1.0,2.0,2.0,0.0,746.0,0,0,1,1.0,1.0,0.94
2568,0.0,93.0,2.0,2.0,3.0,1.0,1350.0,0,0,1,2.0,2.0,0.7
2569,0.0,39.0,3.0,1.0,0.0,3.0,1820.0,0,0,1,1.0,1.0,0.95
2570,0.0,80.0,2.0,2.0,2.0,0.0,1224.0,0,0,1,1.0,2.0,0.7
